Name;street;zip code;;size;price
Best rehearsal room;Invalidenstr. 117;10115;Berlin;10.00 m_;5.00 EUR
Rainbow rehearsal;Lüneburger Straße;10557; Berlin;50.00 m_;110.00 EUR
Sunny rehearsal room near Ostkreuz;Hauptstraße 18;10317;Berlin;45.00 m_;100.00 EUR
Shared for 2 days;Dorotheenstr. 12;10117;Berlin;60.00 m_;180.00 EUR
Rehearsal space in Charlottenburg;Sophie-Charlotten-Str. 107;14059;Berlin;20.00 m_;10.00 EUR
Rehearsal room in shared ARTtraktiv;Beilsteiner Straße 121;12681;Berlin;60.00 m_;50.00 EUR
Etage Remise;Waldemarstr. 39;10999;Berlin;55.00 m_;35.00 EUR
Rehearsal room in bunker;Steinträgerweg 23;12351;Berlin;35.00 m_;250.00 EUR
Centrally located rehearsal room;Warschauer Straße 58;10245;Berlin;24.00 m_;380.00 EUR
Nice rehearsal room;Tiniusstr. 2;13089;Berlin;25.00 m_;150.00 EUR
nhow Hotel Studio;Stralauer Allee 3;10245;Berlin;250.00 m_;520.00 EUR
